rematch_decision,rematch_confidence,matched_chapter_code,matched_chapter_name,matched_group_name,matched_object_path,match_source_type,match_source_file,path_count,sample_paths
YES_EXISTING_JSON_PARENT_GROUP,medium,SF,小区服务参数管理（总体）,FAP 载波基本配置,Device.Services.FAPService.{i}.,json_seed_and_catalog_existing_group,omcgo/internal/config/parammodel/mmlstandardloader/seeds/cmcc_tdlte_v23.json; omcgo/datamodels/mml-catalog/cmcc-tdlte-v2.3.json,627,Device.Services.FAPService.{i}.FAPControl.NR.AMFPoolConfigParam.{i}; Device.Services.FAPService.{i}.X_COM.LTE.ANR.AnrA3Offset; Device.Services.FAPService.{i}.X_COM.LTE.ANR.AnrReportCfgVal; Device.Services.FAPService.{i}.X_COM.LTE.ANR.InterAnrA5Threshold1RSRP; Device.Services.FAPService.{i}.X_COM.LTE.ANR.InterAnrA5Threshold2RSRP; Device.Services.FAPService.{i}.FAPControl.CONFIG_STATS_FLOW.STATS_FLOW_SWITCH; Device.Services.FAPService.{i}.FAPControl.CONFIG_STATS_FLOW.STATS_FLOW_UPLOAD_ADDRESS; Device.Services.FAPService.{i}.FAPControl.CONFIG_STATS_FLOW.STATS_FLOW_UPLOAD_INTERVAL
YES_EXISTING_JSON_PARENT_GROUP,medium,SA,设备信息参数管理,设备基本信息,Device.DeviceInfo.,json_seed_and_catalog_existing_group,omcgo/internal/config/parammodel/mmlstandardloader/seeds/cmcc_tdlte_v23.json; omcgo/datamodels/mml-catalog/cmcc-tdlte-v2.3.json,119,Device.DeviceInfo.AntennaInfo.Azimuth; Device.DeviceInfo.AntennaInfo.Azimuth2; Device.DeviceInfo.AntennaInfo.Azimuth3; Device.DeviceInfo.AntennaInfo.Beamwidth; Device.DeviceInfo.AntennaInfo.Beamwidth2; Device.DeviceInfo.AntennaInfo.Beamwidth3; Device.DeviceInfo.AntennaInfo.Downtilt; Device.DeviceInfo.AntennaInfo.Downtilt2
YES_PARAM_MAPPING_XML_OBJECT,medium-low,,,Ipsec,Device.FAP.Ipsec.,param_mapping_xml_object_prefix,omcgo/data/param-mappings/BLQ.xml,35,Device.FAP.Ipsec.{i}; Device.FAP.Ipsec.{i}.DPDACTION; Device.FAP.Ipsec.{i}.DPDDELAY; Device.FAP.Ipsec.{i}.ESP_AUTHENTICATION; Device.FAP.Ipsec.{i}.ESP_DH_GROUP; Device.FAP.Ipsec.{i}.ESP_ENCRYPTION; Device.FAP.Ipsec.{i}.FRAGMENTATION; Device.FAP.Ipsec.{i}.IKELIFETIME
YES_PARAM_MAPPING_XML_OBJECT,medium-low,,,Bts,DeviceGSM.Bts.,param_mapping_xml_object_prefix,omcgo/data/param-mappings/BSC.xml,16,DeviceGSM.Bts.Index; DeviceGSM.Bts.Trx.Index; DeviceGSM.Bts.{i}.handover2.power.budget.hysteresis; DeviceGSM.Bts.{i}.handover2.power.budget.interval; DeviceGSM.Bts.{i}.handover2.retries; DeviceGSM.Bts.{i}.handover2.tdma-measurement; DeviceGSM.Bts.{i}.handover2.window.rxlev.neighbor.averaging; DeviceGSM.Bts.{i}.handover2.penalty-time.max-distance
YES_EXISTING_JSON_PARENT_GROUP,medium,SL,WAN口配置参数管理,VLAN 子接口,Device.Ethernet.Interface.{i}.VlanInterface.{i}.,json_seed_and_catalog_existing_group,omcgo/internal/config/parammodel/mmlstandardloader/seeds/cmcc_tdlte_v23.json; omcgo/datamodels/mml-catalog/cmcc-tdlte-v2.3.json,8,Device.Ethernet.Interface.{i}.VlanInterface.{i}.VlanPppoeAddress.{i}; Device.Ethernet.Interface.{i}.VlanInterface.{i}.VlanPppoeAddress.{i}.Ipv4SubnetMask; Device.Ethernet.Interface.{i}.VlanInterface.{i}.VlanPppoeAddress.{i}.PppoeAddressType; Device.Ethernet.Interface.{i}.VlanInterface.{i}.VlanPppoeAddress.{i}.PppoeConnectStatus; Device.Ethernet.Interface.{i}.VlanInterface.{i}.VlanPppoeAddress.{i}.PppoeDiallingMethod; Device.Ethernet.Interface.{i}.VlanInterface.{i}.VlanPppoeAddress.{i}.PppoeIpAddress; Device.Ethernet.Interface.{i}.VlanInterface.{i}.VlanPppoeAddress.{i}.PppoePassword; Device.Ethernet.Interface.{i}.VlanInterface.{i}.VlanPppoeAddress.{i}.PppoeUser
YES_EXISTING_JSON_PARENT_GROUP,medium,SL,WAN口配置参数管理,以太网接口,Device.Ethernet.Interface.{i}.,json_seed_and_catalog_existing_group,omcgo/internal/config/parammodel/mmlstandardloader/seeds/cmcc_tdlte_v23.json; omcgo/datamodels/mml-catalog/cmcc-tdlte-v2.3.json,8,Device.Ethernet.Interface.{i}.PppoeAddress.{i}; Device.Ethernet.Interface.{i}.PppoeAddress.{i}.Ipv4SubnetMask; Device.Ethernet.Interface.{i}.PppoeAddress.{i}.PppoeAddressType; Device.Ethernet.Interface.{i}.PppoeAddress.{i}.PppoeConnectStatus; Device.Ethernet.Interface.{i}.PppoeAddress.{i}.PppoeDiallingMethod; Device.Ethernet.Interface.{i}.PppoeAddress.{i}.PppoeIpAddress; Device.Ethernet.Interface.{i}.PppoeAddress.{i}.PppoePassword; Device.Ethernet.Interface.{i}.PppoeAddress.{i}.PppoeUser
YES_SAME_EXISTING_GROUP_CODE,high,SI,邻区参数管理,LTE 同系统邻区,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.NeighborList.LTECell.{i}.,existing_mml_group_code_from_analysis,omcgo/data/model-library/standard-params-to-mml-tree-analysis-20260703.detail.csv,8,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.NeighborList.LTECell.{i}; Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.NeighborList.LTECell.{i}.CID; Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.NeighborList.LTECell.{i}.CIO; Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.NeighborList.LTECell.{i}.EUTRACarrierARFCN; Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.NeighborList.LTECell.{i}.PLMNID; Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.NeighborList.LTECell.{i}.PhyCellID; Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.NeighborList.LTECell.{i}.QOffset; Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.NeighborList.LTECell.{i}.TAC
YES_SAME_EXISTING_GROUP_CODE,high,SJ,移动性参数管理,空闲态异频载波,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.Mobility.IdleMode.InterFreq.Carrier.{i}.,existing_mml_group_code_from_analysis,omcgo/data/model-library/standard-params-to-mml-tree-analysis-20260703.detail.csv,8,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.Mobility.IdleMode.InterFreq.Carrier.{i}; Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.Mobility.IdleMode.InterFreq.Carrier.{i}.CellReselectionPriority; Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.Mobility.IdleMode.InterFreq.Carrier.{i}.EUTRACarrierARFCN; Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.Mobility.IdleMode.InterFreq.Carrier.{i}.PMax; Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.Mobility.IdleMode.InterFreq.Carrier.{i}.QOffsetFreq; Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.Mobility.IdleMode.InterFreq.Carrier.{i}.QRxLevMinSIB5; Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.Mobility.IdleMode.InterFreq.Carrier.{i}.ThreshXHigh; Device.Services.FAPService.{i}.CellConfig.{i}.LTE.RAN.Mobility.IdleMode.InterFreq.Carrier.{i}.ThreshXLow
YES_SAME_EXISTING_GROUP_CODE,high,SH,RAN协议栈参数,RF,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.RF.,existing_mml_group_code_from_analysis,omcgo/data/model-library/standard-params-to-mml-tree-analysis-20260703.detail.csv,6,Device.Services.FAPService.{i}.CellConfig.LTE.RAN.RF.AdminCellState; Device.Services.FAPService.{i}.CellConfig.LTE.RAN.RF.EnbCellType; Device.Services.FAPService.{i}.CellConfig.LTE.RAN.RF.ForceRadioEnable; Device.Services.FAPService.{i}.CellConfig.LTE.RAN.RF.LteCellWithRuList; Device.Services.FAPService.{i}.CellConfig.LTE.RAN.RF.X_COM_MaxTxPowerExpanded; Device.Services.FAPService.{i}.CellConfig.LTE.RAN.RF.X_COM_RadioEnable
YES_PARAM_MAPPING_XML_OBJECT,medium-low,,,Trx,DeviceGSM.Bts.{i}.Trx.,param_mapping_xml_object_prefix,omcgo/data/param-mappings/BSC.xml,4,DeviceGSM.Bts.{i}.Trx.{i}.Arfcn; DeviceGSM.Bts.{i}.Trx.{i}.MaxPowerRed; DeviceGSM.Bts.{i}.Trx.{i}.RfLocked; DeviceGSM.Bts.{i}.Trx.{i}.Ts.{i}.PhyChanConfig
